SimulationName,SimulationID,CheckpointID,CheckpointName,Clock.Today,Maize.AboveGround.N,Maize.AboveGround.Wt,Maize.Grain.N,Maize.Grain.NumberFunction,Maize.Grain.Size,Maize.Grain.Total.Wt,Maize.Grain.Wt,Maize.Phenology.CurrentStageName,Maize.Total.Wt,Yield,Zone
Simulation,1,1,Current,1991-05-28,9.127,1270.611,6.804,1889.832,0.288,543.460,543.460,HarvestRipe,1365.475,5434.600,Field
Simulation,1,1,Current,1992-04-09,1.429,210.614,0.969,593.209,0.159,94.304,94.304,HarvestRipe,234.737,943.042,Field
Simulation,1,1,Current,1993-03-16,3.221,398.990,2.226,1021.611,0.178,181.500,181.500,HarvestRipe,456.352,1814.996,Field
Simulation,1,1,Current,1994-03-15,2.859,392.709,1.883,1336.877,0.120,159.796,159.796,HarvestRipe,436.677,1597.963,Field
Simulation,1,1,Current,1995-04-04,7.999,1139.046,5.732,1889.832,0.252,476.064,476.064,HarvestRipe,1247.392,4760.644,Field
Simulation,1,1,Current,1996-03-15,4.207,657.991,3.127,1521.079,0.216,328.095,328.095,HarvestRipe,703.495,3280.953,Field
Simulation,1,1,Current,1997-04-05,7.565,855.737,5.623,1830.589,0.248,453.489,453.489,HarvestRipe,959.361,4534.886,Field
Simulation,1,1,Current,1998-03-06,3.559,444.518,2.415,1355.457,0.150,203.182,203.182,HarvestRipe,507.714,2031.822,Field
Simulation,1,1,Current,1999-04-10,8.580,1276.753,6.130,1889.832,0.266,501.947,501.947,HarvestRipe,1388.406,5019.473,Field
Simulation,1,1,Current,2000-04-05,2.171,311.972,1.515,1301.829,0.118,153.851,153.851,HarvestRipe,343.155,1538.513,Field
